,Team,Result,Margin,BR,Toss,Bat,,Opposition,Ground,Start Date,
0,India,n/r,-,,won,-,,v Sri Lanka,Guwahati,5 Jan 2020,
1,India,won,7 wickets,15,won,2nd,,v Sri Lanka,Indore,7 Jan 2020,
2,India,won,78 runs,,lost,1st,,v Sri Lanka,Pune,10 Jan 2020,
3,India,won,6 wickets,6,won,2nd,,v New Zealand,Auckland,24 Jan 2020,
4,India,won,7 wickets,15,lost,2nd,,v New Zealand,Auckland,26 Jan 2020,
5,India,tied,-,,lost,1st,,v New Zealand,Hamilton,29 Jan 2020,
6,India,tied,-,,lost,1st,,v New Zealand,Wellington,31 Jan 2020,
7,India,won,7 runs,,won,1st,,v New Zealand,Mount Maunganui,2 Feb 2020,
8,India,won,11 runs,,lost,1st,,v Australia,Canberra,4 Dec 2020,
9,India,won,6 wickets,2,won,2nd,,v Australia,Sydney,6 Dec 2020,
10,India,lost,12 runs,,won,2nd,,v Australia,Sydney,8 Dec 2020,
11,India,lost,8 wickets,27,lost,1st,,v England,Ahmedabad,12 Mar 2021,
12,India,won,7 wickets,13,won,2nd,,v England,Ahmedabad,14 Mar 2021,
13,India,lost,8 wickets,10,lost,1st,,v England,Ahmedabad,16 Mar 2021,
14,India,won,8 runs,,lost,1st,,v England,Ahmedabad,18 Mar 2021,
15,India,won,36 runs,,lost,1st,,v England,Ahmedabad,20 Mar 2021,
