,Team,Result,Margin,BR,Toss,Bat,,Opposition,Ground,Start Date,
0,India,lost,5 wickets,12,lost,1st,,v Sri Lanka,Pune,9 Feb 2016,
1,India,won,69 runs,,lost,1st,,v Sri Lanka,Ranchi,12 Feb 2016,
2,India,won,9 wickets,37,won,2nd,,v Sri Lanka,Visakhapatnam,14 Feb 2016,
3,India,won,5 wickets,4,won,2nd,,v Sri Lanka,Dhaka,1 Mar 2016,
4,India,won,7 wickets,4,won,2nd,,v Sri Lanka,Colombo (RPS),6 Sep 2017,
5,India,won,93 runs,,lost,1st,,v Sri Lanka,Cuttack,20 Dec 2017,
6,India,won,88 runs,,lost,1st,,v Sri Lanka,Indore,22 Dec 2017,
7,India,won,5 wickets,4,won,2nd,,v Sri Lanka,Mumbai,24 Dec 2017,
8,India,lost,5 wickets,9,lost,1st,,v Sri Lanka,Colombo (RPS),6 Mar 2018,
9,India,won,6 wickets,9,won,2nd,,v Sri Lanka,Colombo (RPS),12 Mar 2018,
10,India,n/r,-,,won,-,,v Sri Lanka,Guwahati,5 Jan 2020,
11,India,won,7 wickets,15,won,2nd,,v Sri Lanka,Indore,7 Jan 2020,
12,India,won,78 runs,,lost,1st,,v Sri Lanka,Pune,10 Jan 2020,
